round,dataset,scenario,method_or_configuration,seed,metric,value,status,comparison_class,paper_role,source_file,source_row_or_key,source_sha256,scientific_status,notes
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28002,Delta_group,0.14129032258064522,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28002_20260803_100644_268825,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28002,Delta_c_s,0.60478577028678,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28002_20260803_100644_268825,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28002,RMSE_rho,7.122360420127952,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28002_20260803_100644_268825,,VALID,
E1,Balanced,balanced_no_harm,FedAsync-Window,28003,RMSE_mu,7.683518553461857,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28003_20260803_100914_746021,,VALID,
E1,Balanced,balanced_no_harm,FedAsync-Window,28003,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28003_20260803_100914_746021,,VALID,
E1,Balanced,balanced_no_harm,FedAsync-Window,28003,Tail_RMSE,8.408929942340258,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28003_20260803_100914_746021,,VALID,
E1,Balanced,balanced_no_harm,FedAsync-Window,28003,Delta_group,0.17159960093116064,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28003_20260803_100914_746021,,VALID,
E1,Balanced,balanced_no_harm,FedAsync-Window,28003,Delta_c_s,0.604553937994349,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28003_20260803_100914_746021,,VALID,
E1,Balanced,balanced_no_harm,FedAsync-Window,28003,RMSE_rho,7.090220198321181,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28003_20260803_100914_746021,,VALID,
E1,Balanced,balanced_no_harm,FedAvg-Window,28003,RMSE_mu,7.683194309030782,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28003_20260803_100825_701178,,VALID,
E1,Balanced,balanced_no_harm,FedAvg-Window,28003,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28003_20260803_100825_701178,,VALID,
