dataset,method,seed,comparison_class,RMSE_mu,Delta_group,Delta_c_s,paper_use
SensorScope,TimeAlign-Agg,30013,SCI_COMPARABLE_MAIN,7.984108663060393,1.066582086628169,1.2905771136185882,main
SensorScope,TimeAlign-Agg,30014,SCI_COMPARABLE_MAIN,7.939261849172708,1.0774975310665078,1.308800061373843,main
SensorScope,TimeAlign-Agg,30015,SCI_COMPARABLE_MAIN,7.939825152541122,1.0593892069698514,1.2880548961194123,main
SensorScope,TimeAlign-Agg,30016,SCI_COMPARABLE_MAIN,7.977926742508984,1.0304822665323687,1.3100893482327933,main
SensorScope,TimeAlign-Agg,30017,SCI_COMPARABLE_MAIN,7.998245245485566,1.0494786575431732,1.2709010225139254,main
SensorScope,TimeAlign-Agg,30018,SCI_COMPARABLE_MAIN,7.932660739750634,1.0971445843347367,1.3142252503203267,main
SensorScope,TimeAlign-Agg,30019,SCI_COMPARABLE_MAIN,7.980053233751013,1.0363253308817821,1.2827863649940263,main
SensorScope,TimeAlign-Agg,30020,SCI_COMPARABLE_MAIN,7.9558402632000265,1.1140961396648996,1.3529903448748948,main
SensorScope,Inst-Cal,30001,SCI_COMPARABLE_MAIN,7.9138595586894525,0.9986066222082528,1.2145164806400233,main
SensorScope,Inst-Cal,30002,SCI_COMPARABLE_MAIN,7.871141994900741,1.0164420498861388,1.2432292928875566,main
SensorScope,Inst-Cal,30003,SCI_COMPARABLE_MAIN,7.912758746249393,0.988256198423374,1.227655413696019,main
SensorScope,Inst-Cal,30004,SCI_COMPARABLE_MAIN,7.819585724710081,1.0423075459102848,1.2777889593637521,main
SensorScope,Inst-Cal,30005,SCI_COMPARABLE_MAIN,8.018991805677423,1.009096389947546,1.2816409758818592,main
SensorScope,Inst-Cal,30006,SCI_COMPARABLE_MAIN,7.918409897470545,0.9897716828273451,1.2433326143021148,main
SensorScope,Inst-Cal,30007,SCI_COMPARABLE_MAIN,7.980055276933999,1.0102370374009464,1.2354119076009906,main
SensorScope,Inst-Cal,30008,SCI_COMPARABLE_MAIN,7.936454136433752,0.9394604055197056,1.2310559672924186,main
SensorScope,Inst-Cal,30009,SCI_COMPARABLE_MAIN,7.899656852105435,1.0090591213608517,1.238918296713872,main
SensorScope,Inst-Cal,30010,SCI_COMPARABLE_MAIN,7.976403808640745,1.0382707847670014,1.3197211468951366,main
SensorScope,Inst-Cal,30011,SCI_COMPARABLE_MAIN,7.943951001962901,1.030424944036128,1.2860159821676427,main
SensorScope,Inst-Cal,30012,SCI_COMPARABLE_MAIN,7.879431706770402,1.0032407475034273,1.278015303641022,main
SensorScope,Inst-Cal,30013,SCI_COMPARABLE_MAIN,7.975035433934857,1.0240720862738022,1.2554151154232467,main
SensorScope,Inst-Cal,30014,SCI_COMPARABLE_MAIN,7.936400678845842,1.0341402686296324,1.2853060218472172,main
SensorScope,Inst-Cal,30015,SCI_COMPARABLE_MAIN,7.934869912248156,1.006943831071837,1.2612500060307315,main
SensorScope,Inst-Cal,30016,SCI_COMPARABLE_MAIN,7.97901657987022,0.9890843556821611,1.2825384349090665,main
SensorScope,Inst-Cal,30017,SCI_COMPARABLE_MAIN,7.988633195875219,1.0194801458671878,1.2462453753582479,main
SensorScope,Inst-Cal,30018,SCI_COMPARABLE_MAIN,7.937872934841865,1.0548022963395274,1.2840757519404264,main
SensorScope,Inst-Cal,30019,SCI_COMPARABLE_MAIN,7.977216830553722,0.9907901296280115,1.258570370143836,main
SensorScope,Inst-Cal,30020,SCI_COMPARABLE_MAIN,7.960065298809859,1.0872364501209062,1.3379067337922614,main
SensorScope,Local-Hajek,30001,SCI_COMPARABLE_MAIN,7.914361980993586,1.0433329926179937,1.2422979138143753,main
SensorScope,Local-Hajek,30002,SCI_COMPARABLE_MAIN,7.874722976466658,1.0423759073199488,1.2669848858624366,main
SensorScope,Local-Hajek,30003,SCI_COMPARABLE_MAIN,7.918432839360214,1.0513745195898068,1.2781271187126726,main
SensorScope,Local-Hajek,30004,SCI_COMPARABLE_MAIN,7.828085366096157,1.0893131373846656,1.2959504633592989,main
SensorScope,Local-Hajek,30005,SCI_COMPARABLE_MAIN,8.009104445587706,1.0483361139897638,1.3071388392780583,main
SensorScope,Local-Hajek,30006,SCI_COMPARABLE_MAIN,7.913759800938974,1.0366055669987118,1.2598999305652532,main
SensorScope,Local-Hajek,30007,SCI_COMPARABLE_MAIN,7.991805174721638,1.064965321416934,1.2650939114648792,main
SensorScope,Local-Hajek,30008,SCI_COMPARABLE_MAIN,7.93821685746566,0.9857842467918951,1.2567093568590075,main
SensorScope,Local-Hajek,30009,SCI_COMPARABLE_MAIN,7.8977270526415,1.033722576235309,1.254444395446093,main
SensorScope,Local-Hajek,30010,SCI_COMPARABLE_MAIN,7.960143636628071,1.0716073992571684,1.3531575695170164,main
SensorScope,Local-Hajek,30011,SCI_COMPARABLE_MAIN,7.942042472328478,1.0849967061923578,1.3200732024715194,main
SensorScope,Local-Hajek,30012,SCI_COMPARABLE_MAIN,7.889177600892373,1.034846157426802,1.2881076510108769,main
SensorScope,Local-Hajek,30013,SCI_COMPARABLE_MAIN,7.987182829768198,1.063537512155023,1.2886576045562221,main
SensorScope,Local-Hajek,30014,SCI_COMPARABLE_MAIN,7.936916494423676,1.0776157343762005,1.309539636753089,main
SensorScope,Local-Hajek,30015,SCI_COMPARABLE_MAIN,7.938771535871757,1.0541024686185971,1.2857957454731648,main
SensorScope,Local-Hajek,30016,SCI_COMPARABLE_MAIN,7.9786080448334875,1.0334462132849223,1.3119255849008766,main
SensorScope,Local-Hajek,30017,SCI_COMPARABLE_MAIN,7.998586597463677,1.0483863209669657,1.2719677574516286,main
SensorScope,Local-Hajek,30018,SCI_COMPARABLE_MAIN,7.925135637937268,1.099053523348939,1.3130832702479562,main
SensorScope,Local-Hajek,30019,SCI_COMPARABLE_MAIN,7.9788604021904135,1.0369701721516233,1.2844177663734113,main
SensorScope,Local-Hajek,30020,SCI_COMPARABLE_MAIN,7.956226309103518,1.1151179022825877,1.352990344874895,main
SensorScope,RAVEN-MCS,30001,SCI_COMPARABLE_MAIN,7.913791224192832,0.9984597031193984,1.214493695326521,main
SensorScope,RAVEN-MCS,30002,SCI_COMPARABLE_MAIN,7.8711066009172805,1.0163090121121825,1.2431424371461768,main
SensorScope,RAVEN-MCS,30003,SCI_COMPARABLE_MAIN,7.912752449814846,0.987986650220171,1.2275379242810647,main
SensorScope,RAVEN-MCS,30004,SCI_COMPARABLE_MAIN,7.819513648080064,1.0422365849976831,1.277735105290421,main
SensorScope,RAVEN-MCS,30005,SCI_COMPARABLE_MAIN,8.019002765163714,1.0089789888358265,1.2816181819842343,main
SensorScope,RAVEN-MCS,30006,SCI_COMPARABLE_MAIN,7.918400910463253,0.9895753536742937,1.2432774583600854,main
SensorScope,RAVEN-MCS,30007,SCI_COMPARABLE_MAIN,7.979988410761757,1.0100807534481162,1.2353840602099804,main
SensorScope,RAVEN-MCS,30008,SCI_COMPARABLE_MAIN,7.936410201989762,0.9393123464767481,1.2310446800709207,main
SensorScope,RAVEN-MCS,30009,SCI_COMPARABLE_MAIN,7.899599273822839,1.0088851531251488,1.238890820397546,main
SensorScope,RAVEN-MCS,30010,SCI_COMPARABLE_MAIN,7.976430767879946,1.03814980014277,1.3196560244379938,main
SensorScope,RAVEN-MCS,30011,SCI_COMPARABLE_MAIN,7.943988598407923,1.0303587866854431,1.285993261174073,main
SensorScope,RAVEN-MCS,30012,SCI_COMPARABLE_MAIN,7.879424097815838,1.0031060360546422,1.277988485086274,main
SensorScope,RAVEN-MCS,30013,SCI_COMPARABLE_MAIN,7.9749815903925185,1.0239619990670108,1.2553059578568249,main
SensorScope,RAVEN-MCS,30014,SCI_COMPARABLE_MAIN,7.936370229252201,1.0340455375778568,1.2852656734819687,main
SensorScope,RAVEN-MCS,30015,SCI_COMPARABLE_MAIN,7.934870398845457,1.0068240353091447,1.261207381708227,main
SensorScope,RAVEN-MCS,30016,SCI_COMPARABLE_MAIN,7.9790184154104775,0.9889110085578758,1.2825280981688456,main
SensorScope,RAVEN-MCS,30017,SCI_COMPARABLE_MAIN,7.98882202891608,1.0193012200949805,1.246154103986357,main
SensorScope,RAVEN-MCS,30018,SCI_COMPARABLE_MAIN,7.937892494352546,1.0546663047233986,1.2840696137956993,main
SensorScope,RAVEN-MCS,30019,SCI_COMPARABLE_MAIN,7.977336595186988,0.9906093845200352,1.2584702565682213,main
SensorScope,RAVEN-MCS,30020,SCI_COMPARABLE_MAIN,7.960076276049351,1.0871103525482646,1.3378294819705725,main
SensorScope,RAVEN-SimOracle,30001,SCI_COMPARABLE_MAIN,7.903624828633094,1.0002259255773978,1.2200304168048026,main
SensorScope,RAVEN-SimOracle,30002,SCI_COMPARABLE_MAIN,7.876511174212882,1.0296152264368759,1.255317890018641,main
SensorScope,RAVEN-SimOracle,30003,SCI_COMPARABLE_MAIN,7.913179798625236,0.9803617770596974,1.2390759536694151,main
