dataset,method,seed,Delta_group,Delta_group_status,Delta_c_s,Delta_c_s_status,comparison_class
U-Air,Local-Hajek,30003,1.080989290037921,VALID,1.2356185330009408,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30004,1.1319057602076463,VALID,1.2786177783482366,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30005,1.119589831614613,VALID,1.2558402953784535,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30006,1.1951358777035557,VALID,1.3261103949373023,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30007,1.121515423779574,VALID,1.2564168912848157,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30008,1.136196466007786,VALID,1.2222044666923373,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30009,1.1069862483777573,VALID,1.2403882150344414,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30010,1.0954211643023757,VALID,1.2831899151723758,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30011,1.1814603748566008,VALID,1.2856964781493083,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30012,1.0400328137817878,VALID,1.2182565725223642,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30013,1.157981847525872,VALID,1.287803650460883,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30014,1.116756954354068,VALID,1.2438093476384264,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30015,1.0868882899071572,VALID,1.2354800838574422,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30016,1.082762178627883,VALID,1.262795827307481,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30017,1.0610427765755956,VALID,1.2071196571462317,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30018,1.1049589961770867,VALID,1.2762131582192624,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30019,1.1709545629024762,VALID,1.2962672355842697,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30020,1.174604458135455,VALID,1.2873293971676725,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30001,1.0832400542605098,VALID,1.210200108193248,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30002,1.1419144762116376,VALID,1.280814468536711,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30003,1.0645715834318952,VALID,1.2131507627760136,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30004,1.115797435287312,VALID,1.2528027828397736,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30005,1.103449537936327,VALID,1.2553000139173718,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30006,1.161330610190343,VALID,1.2906091382830018,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30007,1.0882097408685314,VALID,1.2318238779796242,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30008,1.1251526552428417,VALID,1.211856681020001,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30009,1.0602596914731357,VALID,1.1832689538984735,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30010,1.0744274398716298,VALID,1.2506460898677774,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30011,1.152555055977571,VALID,1.263140568067219,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30012,0.9966702306831036,VALID,1.1808862391916142,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30013,1.1071954035812943,VALID,1.2293024969233468,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30014,1.0863720568685775,VALID,1.223947842235467,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30015,1.0540865190102369,VALID,1.2154708190636692,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30016,1.0358379693173898,VALID,1.226789846122231,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30017,1.0151380854627368,VALID,1.182437303745994,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30018,1.071613423619417,VALID,1.2328574841131077,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30019,1.1389995318693815,VALID,1.2622375657345906,VALID,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,30020,1.1704169958264568,VALID,1.2702515539527317,VALID,SCI_COMPARABLE_MAIN
U-Air,TwoStage-Hajek,30001,1.1390436962294088,VALID,1.2178891654367376,VALID,SCI_COMPARABLE_MAIN
U-Air,TwoStage-Hajek,30002,1.171528960474366,VALID,1.285740721649323,VALID,SCI_COMPARABLE_MAIN
U-Air,TwoStage-Hajek,30003,1.0635011690096206,VALID,1.2085234211878513,VALID,SCI_COMPARABLE_MAIN
