dataset,method,seed,RMSE_mu,WorstGroupRMSE,Delta_group,Delta_c_s,path_status
tdrive_speed,fedavg_window,30008,1.1002946366724475,1.3000387679840097,0.523174147885956,1.975826606831245,REAL_PATH_EXECUTED
tdrive_speed,twostage_hajek,30008,1.1131231001861217,1.3200080610151332,0.6025690563453555,1.9639034091398522,REAL_PATH_EXECUTED
tdrive_speed,fedau_window,30008,1.0885994667549421,1.2786604894972737,0.523174147885956,1.9922178551193133,REAL_PATH_EXECUTED
tdrive_speed,obsuse_window,30008,1.0884529208789138,1.278353799463712,0.5231741478859561,1.992247577796244,REAL_PATH_EXECUTED
tdrive_speed,raven_wo_design,30008,1.1009400605455668,1.3011035632058863,0.5231741478859562,1.993557782906322,REAL_PATH_EXECUTED
tdrive_speed,raven,30008,1.10961561422816,1.314718237796388,0.6025690563453555,1.9771607329784477,REAL_PATH_EXECUTED
tdrive_speed,fedavg_window,30009,1.1022428123975814,1.3040045036680243,0.523174147885956,1.9750344296168325,REAL_PATH_EXECUTED
tdrive_speed,twostage_hajek,30009,1.1094455470943732,1.3153271331637704,0.6025690563453555,1.963030067716402,REAL_PATH_EXECUTED
tdrive_speed,fedau_window,30009,1.0936917222609226,1.288923859677302,0.5231741478859562,1.9903063423931253,REAL_PATH_EXECUTED
tdrive_speed,obsuse_window,30009,1.0936951112457165,1.288927196407489,0.5231741478859562,1.9903554459790884,REAL_PATH_EXECUTED
tdrive_speed,raven_wo_design,30009,1.1048128822054126,1.3082423848167746,0.5231741478859561,1.9933756007839998,REAL_PATH_EXECUTED
tdrive_speed,raven,30009,1.1040828568305243,1.306835181911523,0.6025690563453555,1.976616381184,REAL_PATH_EXECUTED
tdrive_speed,fedavg_window,30010,1.1047350347779001,1.3072301230750452,0.5231741478859557,1.9758627184509705,REAL_PATH_EXECUTED
tdrive_speed,twostage_hajek,30010,1.142067654570723,1.3603514676816468,0.5766883949506755,1.9642322542554362,REAL_PATH_EXECUTED
tdrive_speed,fedau_window,30010,1.092383040929879,1.2858723972144952,0.5231741478859562,1.9915573320800655,REAL_PATH_EXECUTED
tdrive_speed,obsuse_window,30010,1.0920577402531997,1.2852457736948033,0.523174147885956,1.9915859250698036,REAL_PATH_EXECUTED
tdrive_speed,raven_wo_design,30010,1.1065421520059475,1.3100807747950198,0.5231741478859562,1.9934215245193017,REAL_PATH_EXECUTED
tdrive_speed,raven,30010,1.1408424969541486,1.358738370568307,0.5766883949506755,1.9776314136625492,REAL_PATH_EXECUTED
